,GARCH,EGARCH,GJR-GARCH,HAR-RV,LightGBM,XGBoost,Ensemble,actual
2023-01-10,0.1893093123079741,0.19482353564050336,0.1640476492808536,0.17718824682120396,0.16597259604273049,0.15955174,0.1774900517239695,0.14903454075282704
2023-01-11,0.18105295029635826,0.1891776108495127,0.15588116972785498,0.18119563697665642,0.1541893295275969,0.1362254,0.17214597226687053,0.13022566251273712
2023-01-12,0.18379651720482296,0.19569758007809784,0.14929956525318883,0.18948082390805857,0.14880451207606568,0.15159287,0.17402728439631573,0.18459592156392546
2023-01-13,0.17281371444562343,0.18330291694547274,0.14201161598573198,0.1844750923419005,0.1400462024225429,0.15156847,0.1657783364033556,0.2007607751171517
2023-01-17,0.16325594967385862,0.1734748758483066,0.1353525510020156,0.14479255484819448,0.1254898751808975,0.1298804,0.14451279323431687,0.20030527883447866
2023-01-18,0.15341497482567643,0.16120962175208947,0.12988615838870013,0.1407396934424795,0.1411088149041378,0.16651781,0.1450878277240979,0.16650691490340608
2023-01-19,0.16881333517745223,0.17760605387388206,0.16603620793270732,0.15465276675910838,0.1363768583531233,0.13378736,0.15328098676322796,0.17550479279202993
2023-01-20,0.1638180525244605,0.17545896277307638,0.16632730064592763,0.14199301364933037,0.15321312583930655,0.13775961,0.1530080640043658,0.11580948234894041
2023-01-23,0.1860256018924138,0.19631958898246724,0.16030433131912067,0.1642312626428622,0.14141206459501873,0.14806512,0.16388964304343157,0.12234629526564524
2023-01-24,0.18600861646564038,0.19994515041673894,0.15322370709426456,0.17569430153117538,0.16339721895497805,0.15782799,0.17503337898393126,0.15997753727648684
2023-01-25,0.1738913513766246,0.18221602039444093,0.14569568324728238,0.18023711823985084,0.17663854234765414,0.17875184,0.17692233732137652,0.17618278658437128
2023-01-26,0.16276629968489784,0.16565140735942468,0.13868072437232418,0.1667828055451026,0.15949604504854872,0.1444816,0.16301505009284975,0.18902877384198194
2023-01-27,0.164449323893163,0.1714745544663186,0.13328996693711218,0.17290994812641922,0.15917075740342676,0.14721377,0.16551000980766964,0.2021861332480707
2023-01-30,0.1547696274186646,0.1603329407333952,0.1273296325321965,0.14419990004892616,0.15981006508117512,0.15805256,0.15292653084958863,0.18494153695502183
2023-01-31,0.16265069894652495,0.17117016246641603,0.15224194254293655,0.14251528849881873,0.14112256662888745,0.1618013,0.14876285135807704,0.17832204323596892
2023-02-01,0.17284979958645724,0.18366676876786703,0.14642185123231732,0.15584390441431525,0.13401318531319484,0.14145029,0.15423562977132246,0.1805741785983559
2023-02-02,0.1719617311617878,0.18610550284376778,0.14025789081606432,0.1629995658192553,0.14464699248018406,0.14460848,0.15986942982040905,0.16074639949073205
2023-02-03,0.18053636638478177,0.19671315509599704,0.1355426776776506,0.16922214203108035,0.17252833823069466,0.1704018,0.17409561554885225,0.14360182327898094
2023-02-06,0.17860937683681055,0.19751539602860332,0.1484310059145842,0.1795659361079753,0.1501496406709316,0.15121245,0.16944165120523916,0.15887265240103043
2023-02-07,0.17059685117418794,0.1900527231441397,0.14762338098431943,0.17590188534627363,0.1679491633505708,0.15949818,0.17148263329034416,0.1303816547126054
2023-02-08,0.17506346920951862,0.1964563019947666,0.14182041198979362,0.17424203939834226,0.17088810058942802,0.16687256,0.17339786973242965,0.10549121127454461
2023-02-09,0.17530597461824984,0.19873737468620045,0.15598620466816074,0.17534625593760336,0.1680983033269786,0.17788959,0.1729168446276106,0.1299242421813564
2023-02-10,0.17140360244534933,0.19628668140699845,0.160627236737764,0.16544165464100655,0.15382872201878367,0.16653362,0.1635579930350465,0.13047994299510465
2023-02-13,0.16095868696108495,0.18165567524333995,0.15247875192208965,0.15490101036641202,0.1471093504692707,0.16659264,0.1543230159322559,0.17649476602525738
2023-02-14,0.16385362213259594,0.1863145262305258,0.14597718189341807,0.1595411892697406,0.15080360592504533,0.1626399,0.15806613910912728,0.1768372960880143
2023-02-15,0.1536042170254322,0.16944196016851662,0.1389478971470851,0.14480509551553328,0.17097327732590606,0.17123246,0.15646086328895717,0.1797465162414962
2023-02-16,0.14508196637411838,0.15904689252363563,0.13253647102328597,0.13045054412985985,0.17203997051126996,0.15907893,0.1491908270050827,0.16807269194310168
2023-02-17,0.15707300803126323,0.17179942672449788,0.15955903413171182,0.13903909080405707,0.14202841207526995,0.15290685,0.14604683697019674,0.1683325738765815
2023-02-21,0.14822608775097673,0.16113134776424187,0.1526912724601075,0.13845725850844018,0.19660214468091183,0.18701828,0.16109516364677626,0.09025141331544397
2023-02-22,0.17961793590474248,0.18753019524030962,0.2027835128663662,0.15873912750593366,0.16817872712857593,0.2059024,0.16884526351308404,0.09566088472743262
2023-02-23,0.16822978052219675,0.1728299270705859,0.19178985205815668,0.16131985675201735,0.18444358257814764,0.20270441,0.17133107328412056,0.10296968712658625
2023-02-24,0.16037523607316387,0.1667709842916891,0.18146058565259196,0.16637227057882986,0.2016291210040354,0.2254747,0.1761255425520097,0.13371405919495524
2023-02-27,0.16168959399239025,0.17173734760513257,0.18701877311048343,0.16338479374270304,0.18355944912872182,0.18201327,0.16954461228793838,0.13201797357799241
2023-02-28,0.1525914858099474,0.16162209457570828,0.17691749887501415,0.16552802498944763,0.17470042622194304,0.18831977,0.16427331234044604,0.17025427607256993
2023-03-01,0.14433608180408047,0.15263886735110638,0.16884591924095774,0.12805865991163481,0.14165252707533663,0.14696407,0.13801575626368398,0.16720221423361142
2023-03-02,0.13838105876279283,0.1478712811228583,0.16342929212744844,0.1258381375109008,0.15170465281495701,0.14905539,0.13864128302955023,0.20634215225628014
2023-03-03,0.13709138131169715,0.1491090080257751,0.15546364787823333,0.12464444711138369,0.11068241127246045,0.11816724,0.12413941323184711,0.2009082190955352
2023-03-06,0.15729862845996084,0.16782626760892838,0.14971671076620638,0.13538843356517624,0.10866123111493424,0.12633303,0.13378276438002376,0.20113523909101924
2023-03-07,0.14766782448042146,0.1538432302028109,0.14238208153718165,0.132481009697134,0.13553267477985628,0.13047454,0.1385605029858039,0.2046757356369038
2023-03-08,0.16356669928642462,0.17064440995296803,0.17341188239619573,0.152490604607555,0.1589136376887369,0.16859238,0.15832364719423886,0.21039202166127585
2023-03-09,0.15353847036553975,0.1576414593964168,0.1642712333502358,0.15484505996047052,0.16172973271486182,0.15914854,0.15670442101362403,0.20504765884568793
2023-03-10,0.1779579913447455,0.18092486396369517,0.20314503481190033,0.17671764347589047,0.22776416420171108,0.231658,0.1941465996741157,0.1936826728560223
2023-03-13,0.18541989918739238,0.19220997700274306,0.21725886945429257,0.1781946028606804,0.3226146143889325,0.2712818,0.22874303881233513,0.2033990497698873
2023-03-14,0.17351313638023597,0.1768372346711512,0.2051859587587092,0.18210780519394928,0.23581424947787208,0.20149687,0.1971450636840191,0.19051500402266497
2023-03-15,0.18640873635539798,0.19237449954729738,0.19532621324853164,0.18567672984518932,0.2023743967095297,0.20272377,0.191486620970039,0.21842898288986443
2023-03-16,0.17857090903395,0.187144074502178,0.19095229964787105,0.1907518808316748,0.24408903143975746,0.1773574,0.2044706071017941,0.1813364644052731
2023-03-17,0.19339130911260344,0.20351386014867998,0.18247467819182084,0.1887426062252391,0.18248855930662353,0.2207596,0.1882074915481554,0.16819302152000273
